Text,Authenticity,Creativity,Aesthetic value,Emotional Impact,Threat of Replacement,Sentiment,Emotional Tone
"I think the main problem, and why people are getting tired of AI art, is that it's pretty much available to anyone. Consequently, the feeds get saturated with low-effort and unimaginative work. People are so impressed by it that they feel the need to post their mediocre work all the time. That's the other problem — AI tools can quickly produce something. So, instead of a painter who takes days, weeks, or months to create art, we now have a bunch of easily impressed people who are given the chance to quickly produce their own art, thus spamming the feeds with low-effort renders. The effort and time investing to gain a skill is non-existent. That's why it's so attractive to lazy people with no imagination/creativity. Something that is good and well produced (ai art-wise) gets lost in the sea of doo-doo.",,1,,,,Negative,Ethically Outraged
"People don't have a common definition of art so you'll get different responses depending on that. Personally I think art is whatever the creator says is art. I.e. it's all about intent. So if someone claims their ai generated image is art, that's good enough for me. I might think it's crap or I might be amazed, but it's still art.",,1,,,,Positive,Supportive
"Of course its Art, take found art for instance, that could be something , anything you find in life that seems beautiful to you and that you interpret as Art, certainly one can find art in an image created by a computer as much as you could find art in a swirl of dirt on a windowpane or a crack in a vase that might be filled with gold and called art, nowhere in the definition of art does it say it has to be the result of a difficult process, or the result of years of formal training or even that it be created by a human being! The real question would be why would you exclude it?",1,,,,,Positive,Enthusiastic
"Yes, but the bar for what passes as good art has been raised.",,,1,,,Neutral,Neutral
"I think it's art in the same way a mass produced watch is a watch. That is to say it is art, but there's just something special about a meticulously hand crafted watch. And while I think AI art can be considered art, I wouldn't call the people generating it ""artists"". Just like I wouldn't call the machine operators ""watchmakers"".",1,,,,,Neutral,Neutral
"I would say a generated image isn't really art and that most people are ai technicians more than ai artist's, but if the composition, curating, and narrative are deliberate enough it could be considered art. It's all subjective anyway though.",1,,,,,Neutral,Neutral
"Art is subjective. Some will, some won't. I don't particularly find a lot of generally considered set pieces artistic, others do. A lot of AI art does nothing for me, sometimes it does. I would like to see AI used as a tool in art, on its own it's often generic but when used as a tool among other mediums it can really become impressive. But what I think doesn't matter in the end, art is subjective.",,,1,,,Neutral,Neutral
"It depends on what you define as ""art"". Most people define art as something created by a human in order to evoke some kind of emotion for the primary purpose of evoking emotion. A jar of piss can be art, it doesn't mean it's good art or that it's worth any more than a jar of piss, but if a person brings it to an art gallery and puts it on a pedastal and fixes a wanky descriptor to it, then it becomes art. It's still disgusting worthless trash, but something being ""art"" isn't a statement of value, it's just a categorization. I wouldn't consider AI images art because they're created by a machine. The Machine can't think about what it's doing and the images it creates are based on an algorithm, not on actual creativity. Just like I wouldn't consider something painted by a dog to be art, even though it might functionally be the same as abstract art - the dog doesn't know what it's doing, it just knows that if it does stuff with the brush a certain way it gets treats. Or anything created primarily to promote a specific ideological group, which is propaganda.",1,,,,,Negative,Dismissive
"Why wouldn't you say that AI isn't art? I'll say it: AI isn't art. Art comes from a different way of seeing the world. Every piece of art that was created in history was shaped by someone's human experiences. Art has become a very wide-ranging category in which almost everything can become art, but I'm pretty sure the process of stealing the work of millions of other artists and pressing a button to regurgitate amalgamated slop isn't art, because none of it was created with imagination. AI art is created with other people's imaginations and the generative process of a machine. It will never create anything new.",1,,,,,Negative,Dismissive
"AI is a tool, it doesn't include creativity or emotions. The user has doesn't have full control over the output and AI is far from being good enough to be used like everyone is imagining. You can still create your own stuff, it doesn't lose on value just because AI exists. If you let this whole AI thing scare you, then you give it more power and credit than it deserves. Focus on what you want to do, because AI won't do it for you.",,1,,,,Neutral,Neutral
"I disagree that is squashes creativity. To me, creativity just means like having an idea to make something. Whatever process is used to make it is irrelevant, the idea is the creative part. I think there's a lot of problems with AI but that's not one of them. If anything it just lowers the barrier for creative expression. Currently making art is kind of gatekept by the technical ability required to make art. If non artists can make good art, then it's probably a net increase in the amount of creative expression in the world. I don't think we're there yet but if the technology keeps improving we will be",,1,,,,Positive,Supportive
"I do not agree with the use of Ai. It's annoying, I feel like it's trying to deceive people. There are art platforms that are full of profiles with variations of the same piece, some of which are truly incredible. However, there is always an artist that was used, but we don't know who, as the user often mixes several. But perhaps, like many technologies that have been denied in the past. This is another one that is facing initial denial, only to later be accepted as an alternative to perfecting and creating art, but with limitations of use",1,,,,,Negative,Dismissive
They’re. Not. Creating. Anything.,,1,,,,Negative,Ethically Outraged
"I feel like you have to distinguish between art and commercially commodified images. The first will always require human creativity and contains what I believe people call ""The Soul"". The second one usually has a pretty clear right or wrong and is usually embedded in a bigger product. In a lot of instances of the second case, humans currently really only serve as human rendering machines. There is often very little creativity involved. It's about churning out high quality images that meet a clear requirement as fast as possible. I expect artists and designers who are working in the second category to use AI in one way or another within the next 5 years.",1,,,,,Neutral,Neutral
